,league_id,date,saison,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1889,1729,2009-01-31 00:00:00,2008/2009,9825,8654,0,0
1890,1729,2009-02-01 00:00:00,2008/2009,8650,8455,2,0
1891,1729,2009-01-31 00:00:00,2008/2009,10252,8528,0,0
1892,1729,2009-01-31 00:00:00,2008/2009,8549,8655,0,0
1893,1729,2009-02-01 00:00:00,2008/2009,10261,8472,1,1
1894,1729,2009-01-31 00:00:00,2008/2009,9879,8462,3,1
1895,1729,2009-01-31 00:00:00,2008/2009,8559,8586,3,2
1896,1729,2009-01-31 00:00:00,2008/2009,8667,8659,2,2
1897,1729,2009-01-31 00:00:00,2008/2009,10194,8456,1,0
1898,1729,2009-02-07 00:00:00,2008/2009,8472,10194,2,0
1899,1729,2009-02-08 00:00:00,2008/2009,8586,9825,0,0
1900,1729,2009-02-08 00:00:00,2008/2009,8654,10260,0,1
1901,1729,2009-02-07 00:00:00,2008/2009,8668,8559,3,0
1902,1729,2009-02-07 00:00:00,2008/2009,8456,8549,1,0
1903,1729,2009-02-07 00:00:00,2008/2009,8655,10252,0,2
1904,1729,2009-02-07 00:00:00,2008/2009,8659,10261,2,3
1905,1729,2009-02-07 00:00:00,2008/2009,8462,8650,2,3
1906,1729,2009-02-07 00:00:00,2008/2009,8528,9879,0,0
1907,1729,2009-02-07 00:00:00,2008/2009,8455,8667,0,0
1908,1729,2009-02-21 00:00:00,2008/2009,10260,8655,2,1
1909,1729,2009-02-21 00:00:00,2008/2009,9825,8472,0,0
1910,1729,2009-02-22 00:00:00,2008/2009,8650,8456,1,1
1911,1729,2009-02-21 00:00:00,2008/2009,10252,8455,0,1
1912,1729,2009-02-21 00:00:00,2008/2009,8549,8528,0,0
1913,1729,2009-02-22 00:00:00,2008/2009,10261,8668,0,0
1914,1729,2009-02-22 00:00:00,2008/2009,9879,8659,2,0
1915,1729,2009-02-21 00:00:00,2008/2009,8559,8654,2,1
1916,1729,2009-02-23 00:00:00,2008/2009,8667,8586,1,2
1917,1729,2009-02-21 00:00:00,2008/2009,10194,8462,2,2
1918,1729,2009-04-22 00:00:00,2008/2009,10260,8462,2,0
1919,1729,2009-02-28 00:00:00,2008/2009,9825,9879,0,0
1920,1729,2009-03-07 00:00:00,2008/2009,8472,8586,1,1
1921,1729,2009-03-01 00:00:00,2008/2009,8654,8456,1,0
1922,1729,2009-03-01 00:00:00,2008/2009,10252,10194,2,2
1923,1729,2009-02-28 00:00:00,2008/2009,8668,8659,2,0
1924,1729,2009-02-28 00:00:00,2008/2009,8549,8650,2,0
1925,1729,2009-03-01 00:00:00,2008/2009,8559,10261,1,0
1926,1729,2009-03-01 00:00:00,2008/2009,8667,8655,1,2
1927,1729,2009-02-28 00:00:00,2008/2009,8455,8528,2,1
1928,1729,2009-03-04 00:00:00,2008/2009,8586,8549,4,0
1929,1729,2009-03-03 00:00:00,2008/2009,8659,9825,1,3
1930,1729,2009-03-03 00:00:00,2008/2009,8462,8455,0,1
1931,1729,2009-03-04 00:00:00,2008/2009,10194,8559,2,0
1932,1729,2009-03-04 00:00:00,2008/2009,8528,8654,0,1
1933,1729,2009-03-03 00:00:00,2008/2009,8650,8472,2,0
1934,1729,2009-03-04 00:00:00,2008/2009,10261,10260,1,2
1935,1729,2009-03-04 00:00:00,2008/2009,8456,10252,2,0
1936,1729,2009-03-04 00:00:00,2008/2009,8655,8668,0,0
1937,1729,2009-03-04 00:00:00,2008/2009,9879,8667,0,1
1938,1729,2009-03-14 00:00:00,2008/2009,10260,8650,1,4
1939,1729,2009-03-14 00:00:00,2008/2009,9825,8655,4,0
1940,1729,2009-03-14 00:00:00,2008/2009,8472,8528,1,2
1941,1729,2009-03-16 00:00:00,2008/2009,8654,8659,0,0
1942,1729,2009-03-15 00:00:00,2008/2009,10252,8586,1,2
1943,1729,2009-03-14 00:00:00,2008/2009,8668,10194,3,1
1944,1729,2009-03-14 00:00:00,2008/2009,8549,8462,1,1
1945,1729,2009-03-14 00:00:00,2008/2009,8559,9879,1,3
1946,1729,2009-03-14 00:00:00,2008/2009,8667,10261,1,1
1947,1729,2009-03-15 00:00:00,2008/2009,8455,8456,1,0
1948,1729,2009-02-18 00:00:00,2008/2009,10260,9879,3,0
1949,1729,2008-08-30 00:00:00,2008/2009,9825,10261,3,0
1950,1729,2008-08-31 00:00:00,2008/2009,8472,8456,0,3
1951,1729,2008-08-30 00:00:00,2008/2009,8654,8655,4,1
1952,1729,2008-08-31 00:00:00,2008/2009,10252,8650,0,0
1953,1729,2008-08-30 00:00:00,2008/2009,8668,8462,0,3
1954,1729,2008-08-30 00:00:00,2008/2009,8549,10194,2,1
1955,1729,2008-08-30 00:00:00,2008/2009,8559,8659,0,0
1956,1729,2008-08-30 00:00:00,2008/2009,8667,8528,0,5
1957,1729,2008-08-31 00:00:00,2008/2009,8455,8586,1,1
1958,1729,2009-03-22 00:00:00,2008/2009,8650,10252,5,0
1959,1729,2009-03-21 00:00:00,2008/2009,8586,8455,1,0
1960,1729,2009-03-21 00:00:00,2008/2009,10261,9825,1,3
1961,1729,2009-03-22 00:00:00,2008/2009,8456,8472,1,0
1962,1729,2009-03-21 00:00:00,2008/2009,8655,8654,1,1
1963,1729,2009-03-21 00:00:00,2008/2009,9879,10260,2,0
1964,1729,2009-03-21 00:00:00,2008/2009,8659,8559,1,1
1965,1729,2009-03-21 00:00:00,2008/2009,8462,8668,2,1
1966,1729,2009-03-21 00:00:00,2008/2009,10194,8549,1,0
1967,1729,2009-03-22 00:00:00,2008/2009,8528,8667,1,0
1968,1729,2009-04-05 00:00:00,2008/2009,10260,10252,3,2
1969,1729,2009-04-04 00:00:00,2008/2009,9825,8456,2,0
1970,1729,2009-04-04 00:00:00,2008/2009,8654,8472,2,0
1971,1729,2009-04-05 00:00:00,2008/2009,8668,8528,4,0
1972,1729,2009-04-04 00:00:00,2008/2009,10261,8455,0,2
